Date,Mean_Temperature,Max_Temperature,Min_Temperature,Heating_Degree_Days,Dew_Point,Average_Humidity,Max_Humidity,Minimum,Humidity,Precipitation,Sea_Level_Pressure,Average_Wind_Speed,Maximum_Wind_Speed,Visibility,Events
2010/9/1,30,36,24,0,18,47,67,27,0.00,1017,12,24,16, 
2010/9/2,29,35,23,0,18,55,73,36,0.00,1015,12,21,16, 
2010/9/3,29,33,25,0,18,54,67,41,0.00,1006,12,32,16, 
2010/9/4,26,29,21,0,7,34,46,22,0.00,1009,18,40,16, 
2010/9/5,22,28,16,0,7,46,68,23,0.00,1016,11,29,16, 
2010/9/6,24,31,17,0,12,51,73,29,0.00,1022,13,27,16, 
2010/9/7,28,34,21,0,16,51,78,24,0.00,1020,18,32,16, 
2010/9/8,29,36,22,0,11,41,69,12,0.00,1011,21,35,16, 
2010/9/9,23,27,18,0,7,40,52,28,0.00,1013,20,35,16, 
2010/9/10,21,26,16,0,8,49,60,38,0.00,1014,17,27,16, 
2010/9/11,21,27,14,0,10,51,72,30,0.00,1016,9,24,16, 
2010/9/12,21,23,18,0,17,77,93,61,17.02,1015,9,23,12,Rain 
2010/9/13,23,29,17,0,15,65,93,37,0.00,1016,10,27,14, 
2010/9/14,23,29,18,0,12,58,84,31,0.00,1015,10,34,16, 
2010/9/15,23,30,17,0,12,52,73,31,0.00,1019,5,23,16, 
2010/9/16,26,33,19,0,17,63,90,36,0.76,1014,11,39,15,Rain 
2010/9/17,23,28,18,0,15,65,90,39,0.25,1015,17,34,15,Rain 
2010/9/18,21,26,14,0,11,55,72,38,0.00,1023,9,23,16, 
2010/9/19,23,29,16,0,14,61,84,37,0.00,1020,6,14,16, 
2010/9/20,23,27,18,0,9,49,78,20,0.00,1017,17,34,16, 
2010/9/21,20,27,13,0,10,52,72,32,0.00,1022,11,23,16, 
2010/9/22,27,35,20,0,18,59,71,37,0.00,1018,16,24,16, 
2010/9/23,28,34,22,0,19,63,84,41,0.00,1021,7,19,16, 
2010/9/24,30,37,22,0,18,58,87,28,0.00,1017,15,35,13, 
2010/9/25,29,34,23,0,15,46,64,28,0.00,1012,14,29,15, 
2010/9/26,21,24,17,0,13,58,78,38,2.54,1016,18,29,16,Rain 
2010/9/27,22,26,18,0,20,85,93,76,5.08,1011,18,42,14,Rain 
2010/9/28,24,29,18,0,18,68,93,43,T,1006,19,37,16,Rain 
2010/9/29,18,18,16,0,14,73,93,53,8.89,1013,10,19,14,Rain 
2010/9/30,23,27,19,0,21,86,97,74,118.36,1004,21,52,8,Fog Rain 
2010/10/1,20,24,16,0,12,61,84,38,0.76,1006,25,47,15,Rain 
2010/10/2,17,22,11,3,7,56,77,35,0.00,1015,8,24,16, 
2010/10/3,16,19,12,5,11,73,89,56,10.16,1017,17,32,15,Rain 
2010/10/4,12,14,10,11,9,82,93,71,9.65,1020,22,32,12,Rain
2010/10/1,20,24,16,0,12,61,84,38,0.76,1006,25,47,15,Rain,,,,,,,,,,,,,,,
2010/10/2,17,22,11,3,7,56,77,35,0,1015,8,24,16,,,,,,,,,,,,,,,,
2010/10/3,16,19,12,5,11,73,89,56,10.16,1017,17,32,15,Rain,,,,,,,,,,,,,,,
2010/10/4,12,14,10,11,9,82,93,71,9.65,1020,22,32,12,Rain,,,,,,,,,,,,,,,
2010/10/5,14,17,10,8,6,63,74,51,0,1019,18,34,16,,,,,,,,,,,,,,,,
2010/10/6,14,17,11,7,7,67,83,51,0.76,1014,13,27,16,Rain,,,,,,,,,,,,,,,
2010/10/7,18,25,11,1,8,63,89,36,0,1011,15,34,16,,,,,,,,,,,,,,,,
2010/10/8,19,26,12,0,7,56,83,28,0,1016,9,23,16,,,,,,,,,,,,,,,,
2010/10/9,21,28,12,0,10,56,86,26,0,1015,9,24,16,,,,,,,,,,,,,,,,
2010/10/10,19,26,13,0,11,63,78,47,0,1013,11,23,16,,,,,,,,,,,,,,,,
2010/10/11,24,31,17,0,14,58,87,29,0,1010,9,21,16,,,,,,,,,,,,,,,,
2010/10/12,23,28,17,0,13,62,87,37,0,1010,10,29,16,,,,,,,,,,,,,,,,
2010/10/13,17,22,12,2,6,51,67,34,0,1016,10,24,16,,,,,,,,,,,,,,,,
2010/10/14,14,16,12,8,12,80,93,66,32,1011,12,29,11,Rain,,,,,,,,,,,,,,,
2010/10/15,14,18,10,7,4,55,71,39,0,1008,19,39,16,,,,,,,,,,,,,,,,
2010/10/16,15,20,10,6,3,49,66,32,0,1014,18,42,16,,,,,,,,,,,,,,,,
2010/10/17,17,24,9,3,7,56,80,31,0,1015,12,27,16,,,,,,,,,,,,,,,,
2010/10/18,16,20,12,4,7,56,77,34,0.25,1015,5,14,16,Rain,,,,,,,,,,,,,,,
2010/10/19,14,17,12,7,9,76,86,66,T,1014,10,29,16,,,,,,,,,,,,,,,,
2010/10/20,13,15,11,10,11,84,93,75,0.51,1012,7,16,13,Rain,,,,,,,,,,,,,,,
2010/10/21,16,21,10,5,7,63,100,26,0,1007,16,40,14,,,,,,,,,,,,,,,,
2010/10/22,12,16,7,12,1,51,71,31,0,1020,16,35,16,,,,,,,,,,,,,,,,
2010/10/23,13,21,6,9,6,57,82,31,0,1023,13,24,16,,,,,,,,,,,,,,,,
2010/10/24,18,23,13,1,10,66,83,49,0,1020,12,21,16,,,,,,,,,,,,,,,,
2010/10/25,19,24,14,0,16,77,90,64,T,1013,19,39,16,,,,,,,,,,,,,,,,
2010/10/26,21,23,17,0,17,83,93,73,T,1011,17,32,16,,,,,,,,,,,,,,,,
2010/10/27,22,24,20,0,20,90,100,79,32.26,1012,14,42,12,Rain,,,,,,,,,,,,,,,
2010/10/28,19,26,12,0,12,61,100,21,0,1013,17,45,16,,,,,,,,,,,,,,,,
2010/10/29,12,14,8,12,0,47,56,38,0,1020,23,45,16,,,,,,,,,,,,,,,,
2010/10/30,10,16,4,15,1,56,79,33,0,1019,17,34,16,,,,,,,,,,,,,,,,
2010/10/31,14,19,8,8,3,54,76,31,0,1014,14,35,16,,,,,,,,,,,,,,,,
2010/11/1,9,13,5,17,-1,54,70,38,0,1028,11,24,16,,,,,,,,,,,,,,,,
2010/11/2,8,12,3,19,-1,54,70,38,0,1031,10,23,16,,,,,,,,,,,,,,,,
2010/11/3,9,14,5,16,5,73,89,57,3.3,1020,6,19,16,Rain,,,,,,,,,,,,,,,
2010/11/4,10,11,8,15,8,88,93,83,33.27,1003,17,27,9,Rain,,,,,,,,,,,,,,,
2010/11/5,11,14,7,13,3,65,86,43,T,1004,16,34,16,Rain,,,,,,,,,,,,,,,
2010/11/6,8,12,4,18,1,64,79,48,0,1021,18,26,16,,,,,,,,,,,,,,,,
2010/11/7,7,12,2,20,-1,62,82,41,0,1026,17,34,16,,,,,,,,,,,,,,,,
2010/11/8,12,18,5,12,-2,41,51,30,0,1012,19,39,16,,,,,,,,,,,,,,,,
2010/11/9,12,17,7,11,2,55,68,42,0,1014,18,29,16,,,,,,,,,,,,,,,,
2010/11/10,13,18,8,10,6,65,82,48,0,1020,13,24,16,,,,,,,,,,,,,,,,
2010/11/11,12,17,6,12,1,52,76,27,0,1028,9,29,16,,,,,,,,,,,,,,,,
2010/11/12,11,19,2,14,-2,47,76,18,0,1029,6,21,16,,,,,,,,,,,,,,,,
